PLACE_ID;CODE;NAME;TYPE_ID;IS_PARKING;IS_TEST;ST_CODE;ST_NAME;ST_NAME_SHORT;LN_CODE;LN_NAME;LN_NAME_SHORT
750;6081;6081;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
39702;6081;ТК РИКО (1 площадка);8;0;0;608;РИКО;РИКО;4;Наземный городской пассажирский транспорт;НГПТ
40057;6081;ТК РИКО (1 площадка);8;0;0;;;;;;
40058;6082;ТК РИКО (2 площадка);8;0;0;;;;;;
39703;6082;ТК РИКО (2 площадка);8;0;0;609;Тр21;Тр21;4;Наземный городской пассажирский транспорт;НГПТ
39704;6091;Транспорт 21 век;8;0;0;609;Тр21;Тр21;4;Наземный городской пассажирский транспорт;НГПТ
40059;6091;Транспорт 21 век;8;0;0;;;;;;
751;6094;6094;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
40060;6101;Стартранс;8;0;0;;;;;;
39705;6101;Стартранс Алтуфьевское ш (6101);8;0;0;610;Странс;Странс;4;Наземный городской пассажирский транспорт;НГПТ
41015;6102;Стартранс (Троицк) 6102;8;0;0;610;Странс;Странс;4;Наземный городской пассажирский транспорт;НГПТ
752;6102;6102;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
753;6103;6103;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
754;6104;6104;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
755;6105;6105;3;0;0;12;мосд 6;мосд 6;4;Наземный городской пассажирский транспорт;НГПТ
