RT_CODE;PARENT_RT_CODE;NAME;ROUTE_NAME
159;157;ММТС/МЦД МСК-МЦД МСК_1/ММ/МЦК/МГТ;ММ/МЦД-М/ММ/МГТ
160;158;ММТС/МЦД МСК-МЦД МСК_2/ММ/МЦК/МГТ;ММ/МЦД-М/ММ/МГТ
161;155;ММТС/МЦД МСК-МЦД МСК_1/ММ/МГТ;ММ/МЦД-М/ММ/МГТ
162;156;ММТС/МЦД МСК-МЦД МСК_2/ММ/МГТ;ММ/МЦД-М/ММ/МГТ
163;155;ММТС/МЦД МСК-МЦД МСК_1/ММ/МЦД МСК-МЦД МСК_2;ММ/МЦД-М/ММ/МЦД-М
164;156;ММТС/МЦД МСК-МЦД МСК_2/ММ/МЦД МСК-МЦД МСК_1;ММ/МЦД-М/ММ/МЦД-М
165;163;ММТС/МЦД МСК-МЦД МСК_1/ММ/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/ММ/МЦД-М/МГТ
166;164;ММТС/МЦД МСК-МЦД МСК_2/ММ/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/ММ/МЦД-М/МГТ
167;155;ММТС/МЦД МСК-МЦД МСК_1/ММ/МЦД МСК-МЦД МО_2;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
168;156;ММТС/МЦД МСК-МЦД МСК_2/ММ/МЦД МСК-МЦД МО_1;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
169;155;ММТС/МЦД МСК-МЦД МСК_1/ММ/МЦД МСК-ДП_2;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
170;156;ММТС/МЦД МСК-МЦД МСК_2/ММ/МЦД МСК-ДП_1;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
171;153;ММТС/МЦД МСК-МЦД МСК_1/МЦК;ММ/МЦД-М/ММ
172;154;ММТС/МЦД МСК-МЦД МСК_2/МЦК;ММ/МЦД-М/ММ
173;171;ММТС/МЦД МСК-МЦД МСК_1/МЦК/ММ;ММ/МЦД-М/ММ
174;172;ММТС/МЦД МСК-МЦД МСК_2/МЦК/ММ;ММ/МЦД-М/ММ
175;173;ММТС/МЦД МСК-МЦД МСК_1/МЦК/ММ/МГТ;ММ/МЦД-М/ММ/МГТ
176;174;ММТС/МЦД МСК-МЦД МСК_2/МЦК/ММ/МГТ;ММ/МЦД-М/ММ/МГТ
177;171;ММТС/МЦД МСК-МЦД МСК_1/МЦК/МГТ;ММ/МЦД-М/ММ/МГТ
178;172;ММТС/МЦД МСК-МЦД МСК_2/МЦК/МГТ;ММ/МЦД-М/ММ/МГТ
179;171;ММТС/МЦД МСК-МЦД МСК_1/МЦК/МЦД МСК-МЦД МСК_2;ММ/МЦД-М/ММ/МЦД-М
180;172;ММТС/МЦД МСК-МЦД МСК_2/МЦК/МЦД МСК-МЦД МСК_1;ММ/МЦД-М/ММ/МЦД-М
181;179;ММТС/МЦД МСК-МЦД МСК_1/МЦК/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/ММ/МЦД-М/МГТ
182;180;ММТС/МЦД МСК-МЦД МСК_2/МЦК/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/ММ/МЦД-М/МГТ
183;171;ММТС/МЦД МСК-МЦД МСК_1/МЦК/МЦД МСК-МЦД МО_2;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
184;172;ММТС/МЦД МСК-МЦД МСК_2/МЦК/МЦД МСК-МЦД МО_1;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
185;171;ММТС/МЦД МСК-МЦД МСК_1/МЦК/МЦД МСК-ДП_2;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
186;172;ММТС/МЦД МСК-МЦД МСК_2/МЦК/МЦД МСК-ДП_1;ММ/МЦД-М/ММ/МЦД-М-МЦД-МО
187;153;ММТС/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/МГТ
188;154;ММТС/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/МГТ
189;153;ММТС/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2;ММ/МЦД-М/МЦД-М
190;154;ММТС/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1;ММ/МЦД-М/МЦД-М
191;189;ММТС/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/ММ;ММ/МЦД-М/МЦД-М/ММ
192;190;ММТС/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/ММ;ММ/МЦД-М/МЦД-М/ММ
193;191;ММТС/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/ММ/МГТ;ММ/МЦД-М/МЦД-М/ММ/МГТ
194;192;ММТС/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/ММ/МГТ;ММ/МЦД-М/МЦД-М/ММ/МГТ
195;189;ММТС/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/МЦК;ММ/МЦД-М/МЦД-М/ММ
196;190;ММТС/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/МЦК;ММ/МЦД-М/МЦД-М/ММ
197;195;ММТС/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/МЦК/МГТ;ММ/МЦД-М/МЦД-М/ММ/МГТ
198;196;ММТС/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/МЦК/МГТ;ММ/МЦД-М/МЦД-М/ММ/МГТ
199;189;ММТС/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/МЦД-М/МГТ
200;190;ММТС/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/МЦД-М/МГТ
201;153;ММТС/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МО_2;ММ/МЦД-М/МЦД-М-МЦД-МО
202;154;ММТС/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МО_1;ММ/МЦД-М/МЦД-М-МЦД-МО
203;153;ММТС/МЦД МСК-МЦД МСК_1/МЦД МСК-ДП_2;ММ/МЦД-М/МЦД-М-МЦД-МО
204;154;ММТС/МЦД МСК-МЦД МСК_2/МЦД МСК-ДП_1;ММ/МЦД-М/МЦД-М-МЦД-МО
205;113;ММТС/МЦД МСК-МЦД МО_1;ММ/МЦД-М-МЦД-МО
206;113;ММТС/МЦД МСК-МЦД МО_2;ММ/МЦД-М-МЦД-МО
207;113;ММТС/МЦД МСК-ДП_1;ММ/МЦД-М-МЦД-МО
208;113;ММТС/МЦД МСК-ДП_2;ММ/МЦД-М-МЦД-МО
209;0;МЦК;ММ
210;209;МЦК/ММ;ММ
211;210;МЦК/ММ/ММТС;ММ
212;211;МЦК/ММ/ММТС/МГТ;ММ/МГТ
213;210;МЦК/ММ/МГТ;ММ/МГТ
214;210;МЦК/ММ/МЦД МСК-МЦД МСК_1;ММ/МЦД-М
215;210;МЦК/ММ/МЦД МСК-МЦД МСК_2;ММ/МЦД-М
216;214;МЦК/ММ/МЦД МСК-МЦД МСК_1/ММ;ММ/МЦД-М/ММ
217;215;МЦК/ММ/МЦД МСК-МЦД МСК_2/ММ;ММ/МЦД-М/ММ
218;216;МЦК/ММ/МЦД МСК-МЦД МСК_1/ММ/МГТ;ММ/МЦД-М/ММ/МГТ
219;217;МЦК/ММ/МЦД МСК-МЦД МСК_2/ММ/МГТ;ММ/МЦД-М/ММ/МГТ
220;214;МЦК/ММ/МЦД МСК-МЦД МСК_1/ММТС;ММ/МЦД-М/ММ
221;215;МЦК/ММ/МЦД МСК-МЦД МСК_2/ММТС;ММ/МЦД-М/ММ
222;220;МЦК/ММ/МЦД МСК-МЦД МСК_1/ММТС/МГТ;ММ/МЦД-М/ММ/МГТ
223;221;МЦК/ММ/МЦД МСК-МЦД МСК_2/ММТС/МГТ;ММ/МЦД-М/ММ/МГТ
224;214;МЦК/ММ/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/МГТ
225;215;МЦК/ММ/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/МГТ
226;214;МЦК/ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2;ММ/МЦД-М/МЦД-М
227;215;МЦК/ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1;ММ/МЦД-М/МЦД-М
228;226;МЦК/ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МСК_2/МГТ;ММ/МЦД-М/МЦД-М/МГТ
229;227;МЦК/ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МСК_1/МГТ;ММ/МЦД-М/МЦД-М/МГТ
230;214;МЦК/ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-МЦД МО_2;ММ/МЦД-М/МЦД-М-МЦД-МО
231;215;МЦК/ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-МЦД МО_1;ММ/МЦД-М/МЦД-М-МЦД-МО
232;214;МЦК/ММ/МЦД МСК-МЦД МСК_1/МЦД МСК-ДП_2;ММ/МЦД-М/МЦД-М-МЦД-МО
233;215;МЦК/ММ/МЦД МСК-МЦД МСК_2/МЦД МСК-ДП_1;ММ/МЦД-М/МЦД-М-МЦД-МО
234;210;МЦК/ММ/МЦД МСК-МЦД МО_1;ММ/МЦД-М-МЦД-МО
235;210;МЦК/ММ/МЦД МСК-МЦД МО_2;ММ/МЦД-М-МЦД-МО
236;210;МЦК/ММ/МЦД МСК-ДП_1;ММ/МЦД-М-МЦД-МО
237;210;МЦК/ММ/МЦД МСК-ДП_2;ММ/МЦД-М-МЦД-МО
238;209;МЦК/МГТ;ММ/МГТ
239;209;МЦК/МЦД МСК-МЦД МСК_1;ММ/МЦД-М
240;209;МЦК/МЦД МСК-МЦД МСК_2;ММ/МЦД-М
241;239;МЦК/МЦД МСК-МЦД МСК_1/ММ;ММ/МЦД-М/ММ
242;240;МЦК/МЦД МСК-МЦД МСК_2/ММ;ММ/МЦД-М/ММ
243;241;МЦК/МЦД МСК-МЦД МСК_1/ММ/ММТС;ММ/МЦД-М/ММ
244;242;МЦК/МЦД МСК-МЦД МСК_2/ММ/ММТС;ММ/МЦД-М/ММ
